cik,company,form,filing_date,document
0000320193,Apple Inc.,10-Q,2021-01-28,aapl-20201226.htm
0000320193,Apple Inc.,8-K,2021-01-27,aapl-20210127.htm
0000320193,Apple Inc.,DEFA14A,2021-01-05,d767776ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2021-01-05,d767770ddef14a.htm
0000320193,Apple Inc.,8-K,2021-01-05,d29637d8k.htm
0000320193,Apple Inc.,10-K,2020-10-30,aapl-20200926.htm
0000320193,Apple Inc.,8-K,2020-10-29,aapl-20201029.htm
0000320193,Apple Inc.,8-K,2020-08-20,d937363d8k.htm
0000320193,Apple Inc.,8-K,2020-08-07,d49399d8k.htm
0000320193,Apple Inc.,10-Q,2020-07-31,aapl-20200627.htm
0000320193,Apple Inc.,8-K,2020-07-30,aapl-20200730.htm
0000320193,Apple Inc.,8-K,2020-05-11,d926511d8k.htm
0000320193,Apple Inc.,10-Q,2020-05-01,a10-qq220203282020.htm
0000320193,Apple Inc.,8-K,2020-04-30,a8-kq220203282020.htm
0000320193,Apple Inc.,8-K,2020-02-27,d865740d8k.htm
0000320193,Apple Inc.,8-K,2020-02-18,d845033d8k.htm
0000320193,Apple Inc.,SC 13G/A,2020-02-14,d852265dsc13ga.htm
0000320193,Apple Inc.,SC 13G/A,2020-02-12,tv01779-appleinc.htm
0000320193,Apple Inc.,SC 13G/A,2020-02-10,us0378331005_020720.txt
0000320193,Apple Inc.,10-Q,2020-01-29,a10-qq1202012282019.htm
0000320193,Apple Inc.,8-K,2020-01-28,a8-kq1202012282019.htm
0000320193,Apple Inc.,DEFA14A,2020-01-03,d799146ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2020-01-03,d799303ddef14a.htm
0000320193,Apple Inc.,8-K,2019-11-15,d828969d8k.htm
0000320193,Apple Inc.,10-K,2019-10-31,a10-k20199282019.htm
0000320193,Apple Inc.,8-K,2019-10-30,a8-kq420199282019.htm
0000320193,Apple Inc.,8-K,2019-09-13,a8-kseptember201991019.htm
0000320193,Apple Inc.,8-K,2019-09-11,d777124d8k.htm
0000320193,Apple Inc.,10-Q,2019-07-31,a10-qq320196292019.htm
0000320193,Apple Inc.,8-K,2019-07-30,a8-kq320196292019.htm
0000320193,Apple Inc.,10-Q,2019-05-01,a10-qq220193302019.htm
0000320193,Apple Inc.,8-K,2019-04-30,a8-kq220193302019.htm
0000320193,Apple Inc.,8-K,2019-03-04,copyofreference8-kform8xkq.htm
0000320193,Apple Inc.,SC 13G,2019-02-14,d667611dsc13g.htm
0000320193,Apple Inc.,SC 13G/A,2019-02-11,appleinc.htm
0000320193,Apple Inc.,8-K,2019-02-06,a8-kfebruary2019252019.htm
0000320193,Apple Inc.,SC 13G/A,2019-02-04,us0378331005_020419.txt
0000320193,Apple Inc.,10-Q,2019-01-30,a10-qq1201912292018.htm
0000320193,Apple Inc.,8-K,2019-01-29,a8-kq1201912292018.htm
0000320193,Apple Inc.,DEFA14A,2019-01-08,d668059ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2019-01-08,d667873ddef14a.htm
0000320193,Apple Inc.,8-K,2019-01-02,a8-kjanuary2019122019.htm
0000320193,Apple Inc.,10-K,2018-11-05,a10-k20189292018.htm
0000320193,Apple Inc.,8-K,2018-11-01,a8-kq420189292018.htm
0000320193,Apple Inc.,10-Q,2018-08-01,a10-qq320186302018.htm
0000320193,Apple Inc.,8-K,2018-07-31,a8-kq320186302018.htm
0000320193,Apple Inc.,8-K,2018-05-07,d563832d8k.htm
0000320193,Apple Inc.,10-Q,2018-05-02,a10-qq220183312018.htm
0000320193,Apple Inc.,8-K,2018-05-01,a8-kq220183312018.htm
0000320193,Apple Inc.,8-K,2018-02-14,d374908d8k.htm
0000320193,Apple Inc.,SC 13G/A,2018-02-12,appleinc.htm
0000320193,Apple Inc.,10-Q,2018-02-02,a10-qq1201812302017.htm
0000320193,Apple Inc.,8-K,2018-02-01,a8-kq1201812302017.htm
0000320193,Apple Inc.,SC 13G/A,2018-01-29,us0378331005_012918.txt
0000320193,Apple Inc.,DEFA14A,2017-12-27,d396272ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2017-12-27,d400278ddef14a.htm
0000320193,Apple Inc.,8-K,2017-11-13,d478060d8k.htm
0000320193,Apple Inc.,10-K,2017-11-03,a10-k20179302017.htm
0000320193,Apple Inc.,8-K,2017-11-02,a8-kq420179302017.htm
0000320193,Apple Inc.,8-K,2017-10-12,d386231d8k.htm
0000320193,Apple Inc.,8-K,2017-09-12,d434478d8k.htm
0000320193,Apple Inc.,8-K,2017-08-18,d593893d8k.htm
0000320193,Apple Inc.,10-Q,2017-08-02,a10-qq32017712017.htm
0000320193,Apple Inc.,8-K,2017-08-01,a8-kq32017712017.htm
0000320193,Apple Inc.,8-K,2017-06-20,d413980d8k.htm
0000320193,Apple Inc.,8-K,2017-05-24,d583637d8k.htm
0000320193,Apple Inc.,8-K,2017-05-11,d388721d8k.htm
0000320193,Apple Inc.,10-Q,2017-05-03,a10-qq22017412017.htm
